date,open,high,low,close,volume
2023-01-01 00:00:00+00:00,16530,16532,16507,16521,17.05204457
2023-01-01 01:00:00+00:00,16520,16542,16519,16542,13.29582632
2023-01-01 02:00:00+00:00,16540,16546,16532,16537,13.03897834
2023-01-01 03:00:00+00:00,16537,16537,16515,16522,16.04984532
2023-01-01 04:00:00+00:00,16523,16523,16509,16509,6.20871686
2023-01-01 05:00:00+00:00,16512,16519,16507,16518,4.93912962
2023-01-01 06:00:00+00:00,16519,16535,16519,16530,15.11529253
2023-01-01 07:00:00+00:00,16531,16533,16496,16517,38.5687573
2023-01-01 08:00:00+00:00,16517,16521,16501,16504,24.9036462
2023-01-01 09:00:00+00:00,16504,16529,16498,16529,27.88547566
2023-01-01 10:00:00+00:00,16527,16533,16524,16533,10.34210614
2023-01-01 11:00:00+00:00,16533,16544,16532,16544,10.98880972
2023-01-01 12:00:00+00:00,16544,16560,16544,16555,26.41853605
2023-01-01 13:00:00+00:00,16555,16559,16537,16541,16.96234024
2023-01-01 14:00:00+00:00,16544,16550,16540,16542,9.42555482
2023-01-01 15:00:00+00:00,16542,16546,16535,16546,14.49466395
2023-01-01 16:00:00+00:00,16546,16569,16546,16558,29.59443097
2023-01-01 17:00:00+00:00,16562,16586,16557,16572,24.00113221
2023-01-01 18:00:00+00:00,16573,16592,16573,16584,15.28865287
2023-01-01 19:00:00+00:00,16588,16612,16588,16597,30.73630375
2023-01-01 20:00:00+00:00,16597,16617,16594,16602,22.73858965
2023-01-01 21:00:00+00:00,16603,16603,16592,16602,18.76168031
2023-01-01 22:00:00+00:00,16603,16604,16590,16599,17.348939
2023-01-01 23:00:00+00:00,16599,16622,16599,16615,49.67328561
2023-01-02 00:00:00+00:00,16615,16620,16584,16584,31.53858098
2023-01-02 01:00:00+00:00,16584,16584,16552,16561,38.71260101
2023-01-02 02:00:00+00:00,16560,16582,16556,16582,17.49174094
2023-01-02 03:00:00+00:00,16582,16688,16579,16661,79.6318883
2023-01-02 04:00:00+00:00,16660,16664,16630,16631,26.70798509
2023-01-02 05:00:00+00:00,16631,16648,16618,16641,26.53180168
2023-01-02 06:00:00+00:00,16642,16650,16633,16636,12.57710446
2023-01-02 07:00:00+00:00,16636,16746,16632,16718,124.1731719
2023-01-02 08:00:00+00:00,16716,16752,16710,16725,75.48400915
2023-01-02 09:00:00+00:00,16728,16738,16710,16712,63.1773063
2023-01-02 10:00:00+00:00,16712,16744,16706,16723,32.49312977
2023-01-02 11:00:00+00:00,16723,16730,16706,16730,21.37221245
2023-01-02 12:00:00+00:00,16730,16735,16718,16718,16.35098175
2023-01-02 13:00:00+00:00,16718,16719,16682,16688,31.94566319
2023-01-02 14:00:00+00:00,16689,16700,16672,16695,22.39583233
2023-01-02 15:00:00+00:00,16696,16739,16691,16727,42.44169491
2023-01-02 16:00:00+00:00,16732,16734,16708,16709,24.65154694
2023-01-02 17:00:00+00:00,16708,16715,16706,16709,29.36719343
2023-01-02 18:00:00+00:00,16709,16722,16704,16718,14.07894987
2023-01-02 19:00:00+00:00,16718,16728,16711,16727,22.95321989
2023-01-02 20:00:00+00:00,16728,16730,16706,16724,97.48778476
2023-01-02 21:00:00+00:00,16724,16782,16719,16751,42.68387741
2023-01-02 22:00:00+00:00,16753,16755,16690,16694,77.68689116
2023-01-02 23:00:00+00:00,16693,16716,16665,16673,74.79226916
2023-01-03 00:00:00+00:00,16668,16700,16655,16694,34.65980066
2023-01-03 01:00:00+00:00,16691,16691,16654,16672,39.687309
2023-01-03 02:00:00+00:00,16672,16681,16668,16673,19.49992599
2023-01-03 03:00:00+00:00,16672,16694,16666,16689,22.90353397
2023-01-03 04:00:00+00:00,16690,16694,16682,16687,45.81204909
2023-01-03 05:00:00+00:00,16683,16720,16682,16720,38.41068045
2023-01-03 06:00:00+00:00,16720,16766,16720,16723,65.41516429
2023-01-03 07:00:00+00:00,16724,16727,16712,16727,30.30620154
2023-01-03 08:00:00+00:00,16727,16730,16699,16711,25.7376893
2023-01-03 09:00:00+00:00,16711,16748,16710,16736,50.08237542
2023-01-03 10:00:00+00:00,16741,16745,16722,16723,42.55680142
2023-01-03 11:00:00+00:00,16723,16728,16708,16716,47.67894795
2023-01-03 12:00:00+00:00,16715,16718,16702,16703,18.92290867
2023-01-03 13:00:00+00:00,16702,16728,16702,16723,39.24165141
2023-01-03 14:00:00+00:00,16722,16764,16646,16657,221.5188039
2023-01-03 15:00:00+00:00,16654,16676,16614,16673,180.0864316
2023-01-03 16:00:00+00:00,16672,16678,16611,16617,185.1741651
2023-01-03 17:00:00+00:00,16614,16632,16605,16620,35.23560512
2023-01-03 18:00:00+00:00,16621,16646,16621,16638,64.33130654
2023-01-03 19:00:00+00:00,16639,16645,16621,16635,39.31553459
2023-01-03 20:00:00+00:00,16635,16660,16635,16657,59.84532381
2023-01-03 21:00:00+00:00,16657,16666,16653,16658,38.80371457
2023-01-03 22:00:00+00:00,16660,16666,16648,16666,20.21053101
2023-01-03 23:00:00+00:00,16666,16684,16666,16670,22.63551075
2023-01-04 00:00:00+00:00,16673,16673,16652,16655,12.35410744
2023-01-04 01:00:00+00:00,16655,16718,16653,16695,96.58792461
2023-01-04 02:00:00+00:00,16695,16740,16695,16733,37.96343016
2023-01-04 03:00:00+00:00,16730,16867,16730,16860,144.8376582
2023-01-04 04:00:00+00:00,16865,16896,16850,16860,75.69733776
2023-01-04 05:00:00+00:00,16860,16860,16839,16850,38.90356736
2023-01-04 06:00:00+00:00,16850,16867,16845,16867,18.67711283
2023-01-04 07:00:00+00:00,16867,16876,16847,16867,99.58765582
2023-01-04 08:00:00+00:00,16867,16906,16840,16860,102.4114113
2023-01-04 09:00:00+00:00,16860,16863,16834,16841,159.7535796
2023-01-04 10:00:00+00:00,16841,16843,16836,16842,42.70554383
2023-01-04 11:00:00+00:00,16842,16847,16834,16834,49.94802262
2023-01-04 12:00:00+00:00,16834,16837,16776,16805,150.4375554
2023-01-04 13:00:00+00:00,16804,16828,16803,16822,34.71602942
2023-01-04 14:00:00+00:00,16823,16848,16794,16825,78.10713794
2023-01-04 15:00:00+00:00,16822,16847,16760,16847,175.5935441
2023-01-04 16:00:00+00:00,16847,16885,16829,16859,75.38443132
2023-01-04 17:00:00+00:00,16859,16931,16848,16890,92.61749616
2023-01-04 18:00:00+00:00,16890,16978,16874,16948,132.6007194
2023-01-04 19:00:00+00:00,16948,16984,16790,16833,238.3130752
2023-01-04 20:00:00+00:00,16832,16843,16778,16801,73.64732398
2023-01-04 21:00:00+00:00,16798,16821,16792,16821,23.76668789
2023-01-04 22:00:00+00:00,16821,16841,16809,16826,56.65914329
2023-01-04 23:00:00+00:00,16825,16861,16815,16849,26.75962685
2023-01-05 00:00:00+00:00,16847,16869,16828,16828,32.83479511
2023-01-05 01:00:00+00:00,16827,16843,16810,16834,30.74002932
2023-01-05 02:00:00+00:00,16833,16838,16826,16833,21.30464905
2023-01-05 03:00:00+00:00,16833,16833,16820,16823,12.73239649
2023-01-05 04:00:00+00:00,16824,16839,16818,16836,22.97525963
2023-01-05 05:00:00+00:00,16836,16851,16835,16843,29.89581007
2023-01-05 06:00:00+00:00,16843,16843,16811,16814,40.28126606
2023-01-05 07:00:00+00:00,16814,16818,16789,16818,35.23494972
2023-01-05 08:00:00+00:00,16819,16824,16794,16804,31.26825993
2023-01-05 09:00:00+00:00,16803,16807,16784,16801,46.11302563
2023-01-05 10:00:00+00:00,16801,16828,16798,16822,30.80818572
2023-01-05 11:00:00+00:00,16822,16831,16814,16830,28.78508798
2023-01-05 12:00:00+00:00,16831,16831,16816,16820,59.64785892
2023-01-05 13:00:00+00:00,16820,16825,16773,16773,68.31614355
2023-01-05 14:00:00+00:00,16775,16827,16755,16825,139.5507208
2023-01-05 15:00:00+00:00,16823,16871,16818,16840,101.9108728
2023-01-05 16:00:00+00:00,16840,16853,16818,16831,85.35200068
2023-01-05 17:00:00+00:00,16829,16835,16810,16810,29.14005274
2023-01-05 18:00:00+00:00,16809,16841,16798,16839,46.80888408
2023-01-05 19:00:00+00:00,16839,16869,16829,16860,41.54788568
2023-01-05 20:00:00+00:00,16860,16866,16845,16856,82.07289529
2023-01-05 21:00:00+00:00,16856,16859,16835,16845,61.18341058
2023-01-05 22:00:00+00:00,16845,16851,16831,16833,28.20006282
2023-01-05 23:00:00+00:00,16833,16842,16817,16826,24.9149141
2023-01-06 00:00:00+00:00,16826,16865,16821,16855,41.06961582
2023-01-06 01:00:00+00:00,16855,16858,16821,16822,29.44432943
2023-01-06 02:00:00+00:00,16822,16830,16802,16830,31.02847031
2023-01-06 03:00:00+00:00,16830,16834,16821,16830,12.02383246
2023-01-06 04:00:00+00:00,16830,16833,16808,16817,56.96126596
2023-01-06 05:00:00+00:00,16816,16817,16792,16806,65.56765042
2023-01-06 06:00:00+00:00,16802,16811,16780,16782,60.26488948
2023-01-06 07:00:00+00:00,16782,16794,16778,16784,32.55376971
2023-01-06 08:00:00+00:00,16784,16805,16784,16796,37.45775646
2023-01-06 09:00:00+00:00,16795,16796,16759,16782,58.6515727
2023-01-06 10:00:00+00:00,16782,16792,16760,16760,36.98979349
2023-01-06 11:00:00+00:00,16760,16765,16712,16733,94.74067491
2023-01-06 12:00:00+00:00,16733,16736,16713,16722,35.7548872
2023-01-06 13:00:00+00:00,16721,16802,16669,16768,179.4345519
2023-01-06 14:00:00+00:00,16768,16780,16717,16746,114.1975362
2023-01-06 15:00:00+00:00,16746,16835,16745,16834,134.4925363
2023-01-06 16:00:00+00:00,16834,16841,16804,16823,58.78313865
2023-01-06 17:00:00+00:00,16827,16835,16810,16813,36.03198737
2023-01-06 18:00:00+00:00,16814,16855,16814,16845,54.8240363
2023-01-06 19:00:00+00:00,16849,16956,16842,16935,113.3761373
2023-01-06 20:00:00+00:00,16935,17024,16888,16893,225.186377
2023-01-06 21:00:00+00:00,16894,16942,16889,16930,67.4913704
2023-01-06 22:00:00+00:00,16932,16965,16932,16957,113.6523639
2023-01-06 23:00:00+00:00,16963,16975,16944,16950,48.60120902
2023-01-07 00:00:00+00:00,16951,16973,16940,16973,39.10380831
2023-01-07 01:00:00+00:00,16973,16975,16948,16949,28.84291968
2023-01-07 02:00:00+00:00,16949,16953,16937,16941,22.40252287
2023-01-07 03:00:00+00:00,16941,16953,16936,16951,14.12810393
2023-01-07 04:00:00+00:00,16951,16951,16937,16938,8.83173232
2023-01-07 05:00:00+00:00,16938,16939,16932,16934,14.31139834
2023-01-07 06:00:00+00:00,16933,16934,16924,16931,21.0298372
2023-01-07 07:00:00+00:00,16931,16946,16931,16946,14.45217717
2023-01-07 08:00:00+00:00,16946,16949,16928,16929,25.0235918
2023-01-07 09:00:00+00:00,16929,16929,16922,16928,20.33046056
2023-01-07 10:00:00+00:00,16928,16928,16914,16921,12.48630512
2023-01-07 11:00:00+00:00,16920,16920,16910,16918,9.16214664
2023-01-07 12:00:00+00:00,16917,16918,16907,16916,16.96889667
2023-01-07 13:00:00+00:00,16916,16928,16912,16916,29.98173864
2023-01-07 14:00:00+00:00,16915,16940,16908,16937,50.35190928
2023-01-07 15:00:00+00:00,16936,16943,16934,16936,14.19107688
2023-01-07 16:00:00+00:00,16936,16936,16917,16917,22.01017943
2023-01-07 17:00:00+00:00,16917,16930,16916,16929,20.3913372
2023-01-07 18:00:00+00:00,16929,16936,16928,16936,21.57883585
2023-01-07 19:00:00+00:00,16936,16942,16935,16940,19.89960505
2023-01-07 20:00:00+00:00,16940,16946,16936,16942,15.60229995
2023-01-07 21:00:00+00:00,16942,16946,16936,16939,32.46980282
2023-01-07 22:00:00+00:00,16939,16939,16931,16937,25.6065668
2023-01-07 23:00:00+00:00,16937,16946,16932,16945,24.5971719
2023-01-08 00:00:00+00:00,16946,16953,16915,16923,34.96357642
2023-01-08 01:00:00+00:00,16922,16934,16917,16929,23.35112984
2023-01-08 02:00:00+00:00,16929,16931,16920,16928,12.25390289
2023-01-08 03:00:00+00:00,16928,16938,16927,16938,17.40398268
2023-01-08 04:00:00+00:00,16938,16940,16937,16937,4.48875332
2023-01-08 05:00:00+00:00,16937,16942,16936,16942,6.69265035
2023-01-08 06:00:00+00:00,16942,16946,16936,16946,10.73372703
2023-01-08 07:00:00+00:00,16946,16951,16945,16950,11.70761358
2023-01-08 08:00:00+00:00,16951,16953,16943,16944,18.51840704
2023-01-08 09:00:00+00:00,16945,16961,16929,16933,24.1024504
2023-01-08 10:00:00+00:00,16934,16939,16932,16939,8.50980176
2023-01-08 11:00:00+00:00,16939,16939,16929,16929,15.42778306
2023-01-08 12:00:00+00:00,16929,16932,16924,16924,25.82356261
2023-01-08 13:00:00+00:00,16925,16933,16924,16932,17.20197658
2023-01-08 14:00:00+00:00,16931,16948,16931,16948,13.85283362
2023-01-08 15:00:00+00:00,16948,17009,16940,16998,75.47083217
2023-01-08 16:00:00+00:00,17001,17012,16919,16936,102.8798818
2023-01-08 17:00:00+00:00,16936,16946,16922,16926,28.97599249
2023-01-08 18:00:00+00:00,16925,16930,16922,16926,13.66086093
2023-01-08 19:00:00+00:00,16926,16935,16925,16929,11.89711
2023-01-08 20:00:00+00:00,16929,16975,16926,16965,34.52718265
2023-01-08 21:00:00+00:00,16964,16981,16949,16954,39.04688275
2023-01-08 22:00:00+00:00,16954,16973,16953,16965,17.77281826
2023-01-08 23:00:00+00:00,16967,17163,16967,17119,247.3083808
2023-01-09 00:00:00+00:00,17124,17189,17108,17184,254.6452674
2023-01-09 01:00:00+00:00,17180,17212,17150,17178,146.2403334
2023-01-09 02:00:00+00:00,17176,17245,17166,17191,145.3188887
2023-01-09 03:00:00+00:00,17194,17211,17183,17199,53.64508957
2023-01-09 04:00:00+00:00,17199,17243,17198,17228,95.06693399
2023-01-09 05:00:00+00:00,17228,17250,17205,17208,56.94427065
2023-01-09 06:00:00+00:00,17208,17212,17184,17189,54.09901475
2023-01-09 07:00:00+00:00,17189,17209,17188,17203,38.40901933
2023-01-09 08:00:00+00:00,17202,17231,17187,17195,95.07291814
2023-01-09 09:00:00+00:00,17195,17264,17191,17240,100.805303
2023-01-09 10:00:00+00:00,17240,17278,17238,17264,112.9542715
2023-01-09 11:00:00+00:00,17264,17276,17241,17241,72.31334325
2023-01-09 12:00:00+00:00,17240,17252,17231,17250,40.27120579
2023-01-09 13:00:00+00:00,17247,17290,17198,17225,80.4606183
2023-01-09 14:00:00+00:00,17225,17268,17211,17263,33.89809452
2023-01-09 15:00:00+00:00,17263,17328,17230,17271,128.415261
2023-01-09 16:00:00+00:00,17270,17355,17270,17325,150.8950878
2023-01-09 17:00:00+00:00,17333,17373,17321,17359,50.27631209
2023-01-09 18:00:00+00:00,17359,17393,17329,17350,113.7080791
2023-01-09 19:00:00+00:00,17350,17350,17298,17298,100.3108118
2023-01-09 20:00:00+00:00,17296,17310,17185,17209,118.9334966
2023-01-09 21:00:00+00:00,17217,17246,17167,17178,55.15896654
2023-01-09 22:00:00+00:00,17179,17223,17167,17203,70.36384299
2023-01-09 23:00:00+00:00,17203,17204,17136,17179,45.14181591
2023-01-10 00:00:00+00:00,17177,17215,17176,17214,136.8172677
2023-01-10 01:00:00+00:00,17214,17230,17187,17193,43.06157536
